Country,Adjectival,Demonym
Country,Adjectival,Demonym
Andorra,"Andorran, Andorrans",Andorran
United Arab Emirates,"Emirian, Emirians",Emirati
Afghanistan,"Afghani, Afghanis",Afghan
Antigua and Barbuda,"Antiguan, Antiguans",Antiguan
Anguilla,"Anguillan, Anguillans",Anguillan
Albania,"Albanian, Albanians",Alabanian
Armenia,"Armenian, Armenians",Hayastani
Angola,"Angolan, Angolans",Angolan
Antarctica,"Antarctic, Antarctics",Antarctic
Argentina,"Argentine, Argentines","Argentinian, Argentinean"
American Samoa,"Samoan, Samoans",Samoan
Austria,"Austrian, Austrians",Austrian
Australia,"Australian, Australians",Australian
Aruba,"Arubian, Arubians",Arubian
Åland Islands,"Ålandic, Ålandics",Ålandish
Azerbaijan,"Azerbaijani, Azerbaijanis",Azerbaijani
Bosnia and Herzegovina,"Bosnian, Bosnians",Herzegovinian
Barbados,"Barbadian, Barbadians","Barbadan, Bajan"
Bangladesh,"Bangladeshi, Bangladeshis",Bangladeshi
Belgium,"Belgian, Belgians",Belgian
Burkina Faso,"Burkinabe, Burkinabe",Burkinabe
Bulgaria,"Bulgarian, Bulgarians",Bulgarian
Bahrain,"Bahrainian, Bahrainians",Bahrainian
Burundi,"Burundian, Burundians",Burundian
Benin,"Beninese, Beninese",Beninese
Saint Barthélemy,"Barthélemois, Barthélemoises",Barthélemois
Bermuda,"Bermudan, Bermudans",Bermudan
Brunei,"Bruneian, Bruneians",Bruneian
Bolivia,"Bolivian, Bolivians",Bolivian
Caribbean Netherlands,,
Brazil,"Brazilian, Brazilians",Brazilian
Bahamas,"Bahameese, Bahameese",Bahamian
Bhutan,"Bhutanese, Bhutanese",Bhutanese
Bouvet Island,,
Botswana,"Motswana, Motswanas",Batswana
Belarus,"Belarusian, Belarusians",Belarusian
Belize,"Belizean, Belizeans",Belizean
Canada,"Canadian, Canadians",Canadian
Cocos (Keeling) Islands,"Cocossian, Cocossians",Cocos Islandia
Democratic Republic of the Congo,"Congolese, Congolese",Congolese
Central African Republic,"Central African, Central Africans",Central African
Congo (Republic of),"Congolese, Congolese",Congolese
Switzerland,"Swiss, Swiss",Swiss
Côte d'Ivoire (Ivory Coast),"Ivorian, Ivorians",Ivorian
Cook Islands,"Cook Islander, Cook Islanders",Cook Islander
Chile,"Chilean, Chileans",Chilean
Cameroon,"Cameroonian, Cameroonians",Cameroonian
China,"Chinese, Chinese",Chinese
Colombia,"Colombian, Colombians",Columbian
Costa Rica,"Costa Rican, Costa Ricans",Costa Rican
Cuba,"Cuban, Cubans",Cuban
Cape Verde,"Cape Verdean, Cape Verdeans",Cape Verdean
Curaçao,"Curaçaoan, Curaçaoans",Curaçaoan
Christmas Island,"Christmas Islander, Christmas Islanders",Christmas Islander
Cyprus,"Cypriot, Cypriots",Cypriot
