name,replacement
European,Europe
Soviet Union, Russia
USSR, Russia
UNION OF SOVIET SOCIALIST REPUBLICS, Russia
Amazon, Amazon River
Tokyo Disneyland, Tokyo
Shanghai Disneyland, Shanghai
Colombo Port, Colombo
UK, United Kingdom of Great Britain and Northern Ireland
US, United States
Italy,Italian Republic
USA,United States of America
France,Republic of France
Germany,Federal Republic of Germany
Spain,Kingdom of Spain
Japan,Japan
China,People's Republic of China
Russia,Russian Federation
Australia,Commonwealth of Australia
Canada,Canada
Mexico,United Mexican States
Brazil,Federative Republic of Brazil
India,Republic of India
Egypt,Arab Republic of Egypt
Sweden,Kingdom of Sweden
Norway,Kingdom of Norway
Switzerland,Swiss Confederation
Netherlands,Kingdom of the Netherlands
Greece,Hellenic Republic
Turkey,Republic of Türkiye
Ireland,Republic of Ireland
Saudi Arabia,Kingdom of Saudi Arabia
South Korea,Republic of Korea
North Korea,Democratic People's Republic of Korea
Thailand,Kingdom of Thailand
Vietnam,Socialist Republic of Vietnam
South Africa,Republic of South Africa
Argentina,Argentine Republic
New Zealand,New Zealand
Morocco,Kingdom of Morocco
Portugal,Portuguese Republic
Austria,Republic of Austria
Poland,Republic of Poland
Denmark,Kingdom of Denmark
Finland,Republic of Finland
Belgium,Kingdom of Belgium
